,speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,locationPrivate,exoticCategory,region,year
0,creduc1,Crested Duck,Lophonetta specularioides,L4011174,Muelle Shackleton,2022-04-09,17.0,-53.062634,-70.858139,False,-1,Magallanes,2022
1,bknsti,Black-necked Stilt,Himantopus mexicanus,L604483,Pichicuy--Humedal,2022-07-20,6.0,-32.3469021,-71.4466238,False,-1,Valparaíso,2022
2,dutcan1,Dusky-tailed Canastero,Pseudasthenes humicola,L12609079,Boulder de Las Papas,2022-12-22,2.0,-33.4103724,-70.4985351,False,-1,Región Metropolitana de Santiago,2022
4,yebpin1,Yellow-billed Pintail,Anas georgica,L2958047,Laguna Lomas del Carmen (Los Patos),2022-04-06,6.0,-38.7219267,-72.6565817,False,-1,Araucanía,2022
15,pifshe,Pink-footed Shearwater,Ardenna creatopus,L570174,Quintero--Pelágico,2022-09-24,0.0,-32.7693779,-71.5838242,False,-1,Valparaíso,2022
25,ongtyr1,Ochre-naped Ground-Tyrant,Muscisaxicola flavinucha,L21967849,Sendero Paso Desolación Petrohue Los Lagos CL (-41.076 -72.468),2022-12-29,1.0,-41.0762097,-72.4682462,True,-1,Los Lagos,2022
32,bhsfin1,Black-hooded Sierra Finch,Phrygilus atriceps,L20511197,B-245 Guatin Antofagasta CL (-22737 -68062),2022-07-25,4.0,-22.7369995,-68.0615087,True,-1,Antofagasta,2022
33,masboo,Masked Booby,Sula dactylatra,L21432179,End Of Airport Seabirding,2022-11-03,4.0,-27.1564536,-109.441398,True,-1,Valparaíso,2022
50,scrcow1,Screaming Cowbird,Molothrus rufoaxillaris,L3914417,Parque Uruguay,2022-12-24,2.0,-33.4220439,-70.6155213,False,-1,Región Metropolitana de Santiago,2022
54,shicow,Shiny Cowbird,Molothrus bonariensis,L12681802,Parque Eduardo Frei Montalva,2022-07-14,23.0,-33.5117747,-70.5877157,False,-1,Región Metropolitana de Santiago,2022
63,lesyel,Lesser Yellowlegs,Tringa flavipes,L16792130,Fuerte Reina Luisa,2022-03-13,1.0,-40.5739189,-73.1436896,False,-1,Los Lagos,2022
90,fotfly,Fork-tailed Flycatcher,Tyrannus savana,L1033516,Río Tres Brazos--Desembocadura,2022-11-16,1.0,-53.2722198,-70.9444284,False,-1,Magallanes,2022
96,torduc1,Torrent Duck,Merganetta armata,L21084712,Pejerrey,2022-09-25,2.0,-36.0549694,-71.4025052,True,-1,Maule,2022
108,rocpig,Rock Pigeon,Columba livia,L4777617,Osorno,2022-02-03,20.0,-40.5724194,-73.1359863,False,0,Los Lagos,2022
113,shicow,Shiny Cowbird,Molothrus bonariensis,L570658,SN Laguna Batuco,2022-08-03,1.0,-33.2064427,-70.8279133,False,-1,Región Metropolitana de Santiago,2022
116,kelgul,Kelp Gull,Larus dominicanus,L18705723,Plaza Carlos Condell,2022-12-15,5.0,-36.8177893,-73.0432862,False,-1,Bío-Bío,2022
135,ameoys,American Oystercatcher,Haematopus palliatus,L668852,Río Lluta--Desembocadura,2022-03-19,4.0,-18.4165392,-70.3224081,False,-1,Arica y Parinacota,2022
140,blhduc1,Black-headed Duck,Heteronetta atricapilla,L861844,Humedal Urbano Cartagena,2022-05-17,1.0,-33.5350454,-71.6022348,False,-1,Valparaíso,2022
144,andswa2,Andean Swallow,Orochelidon andecola,L516530,PN Lauca--Lago Chungará,2022-11-14,1.0,-18.2560888,-69.1623688,False,-1,Arica y Parinacota,2022
158,wbctyr1,White-browed Chat-Tyrant,Ochthoeca leucophrys,L570508,Putre,2022-02-12,1.0,-18.1964537,-69.5565677,False,-1,Arica y Parinacota,2022
162,crwcin1,Cream-winged Cinclodes,Cinclodes albiventris,L570508,Putre,2022-10-31,1.0,-18.1964537,-69.5565677,False,-1,Arica y Parinacota,2022
168,crgdov1,Croaking Ground Dove,Columbina cruziana,L25650315,Chamonate--Predio 5,2022-03-01,34.0,-27.2904313,-70.4486244,True,-1,Atacama,2022
169,fragul,Franklin's Gull,Leucophaeus pipixcan,L604818,SN Humedal Salinas de Pullally y Dunas de Longotoma--Desembocadura,2022-11-08,4.0,-32.4101103,-71.4107895,False,-1,Valparaíso,2022
178,flistd1,Flightless Steamer-Duck,Tachyeres pteneres,L22344367,Bahia Yendegaia Chile,2022-04-17,2.0,-54.865996,-68.690936,True,-1,Magallanes,2022
181,pattyr2,Patagonian Tyrant,Colorhamphus parvirostris,L12798160,5520000 Puerto Montt CL-Los Lagos (-413703-727232),2022-11-03,1.0,-41.370289,-72.723245,True,-1,Los Lagos,2022
183,cintea,Cinnamon Teal,Spatula cyanoptera,L17195772,Humedal artificial Tranque del Pavo,2022-01-23,24.0,-33.6041787,-71.0300798,False,-1,Región Metropolitana de Santiago,2022
187,gryfin2,Greater Yellow-Finch,Sicalis auriventris,L690098,SN Yerba Loca--vega (2800 msnm),2022-12-14,2.0,-33.2478759,-70.2818584,False,-1,Región Metropolitana de Santiago,2022
195,lotmea1,Long-tailed Meadowlark,Leistes loyca,L15947623,Cerro Punta Alta,2022-12-16,5.0,-34.431459,-71.0393102,False,-1,Libertador General Bernardo O'Higgins,2022
199,wepdov1,West Peruvian Dove,Zenaida meloda,L2080015,Tranque El Escorial,2022-05-29,1.0,-33.8528647,-70.6010413,False,-1,Región Metropolitana de Santiago,2022
208,tatdot1,Tawny-throated Dotterel,Oreopholus ruficollis,L1030752,Pampa Larga,2022-11-18,2.0,-52.2679473,-69.7321129,False,-1,Magallanes,2022
213,yebtea1,Yellow-billed Teal,Anas flavirostris,L4051381,Quillaipe,2022-05-05,12.0,-41.5307483,-72.7408648,False,-1,Los Lagos,2022
216,bknsti,Black-necked Stilt,Himantopus mexicanus,L13795765,Llolleo--Laguna Llolleito,2022-11-07,12.0,-33.6118467,-71.6255248,False,-1,Valparaíso,2022
230,soulap1,Southern Lapwing,Vanellus chilensis,L16457546,CASONA PATACON Molina,2022-05-20,4.0,-35.0770186,-71.2610099,True,-1,Maule,2022
233,calqua,California Quail,Callipepla californica,L11393110,Malalcahuello--Cruce La Paloma,2022-07-19,6.0,-38.4783945,-71.5366438,False,0,Araucanía,2022
243,mosfin1,Mourning Sierra Finch,Rhopospina fruticeti,L4807261,Oasis de la Campana,2022-02-13,1.0,-32.914781,-71.054386,False,-1,Valparaíso,2022
245,slbfin3,Slender-billed Finch,Xenospingus concolor,L12989881,Río Loa--Yalquincha,2022-02-28,4.0,-22.4521977,-68.8781016,False,-1,Antofagasta,2022
246,bkfibi1,Black-faced Ibis,Theristicus melanopis,L9851416,Centro de Humedales Río Cruces,2022-08-29,4.0,-39.7950417,-73.2531562,False,-1,Los Ríos,2022
257,magtap1,Magellanic Tapaculo,Scytalopus magellanicus,L976634,Cabo Blanco,2022-09-07,2.0,-39.7884884,-73.2486405,False,-1,Los Ríos,2022
266,yebpin1,Yellow-billed Pintail,Anas georgica,L16024765,800 Ovalle - Combarbalá Ovalle Coquimbo CL (-30592 -71165),2022-08-03,4.0,-30.5919973,-71.1645661,True,-1,Coquimbo,2022
269,wrlrus1,Wren-like Rushbird,Phleocryptes melanops,L791057,Estero El Culebrón--Desembocadura,2022-01-11,1.0,-29.9617015,-71.3218206,False,-1,Coquimbo,2022
274,sbgtyr1,Spot-billed Ground-Tyrant,Muscisaxicola maculirostris,L3340330,RN Cerro Castillo--Sector Laguna,2022-01-17,6.0,-46.0792482,-72.1877289,False,-1,Aisén del General Carlos Ibáñez del Campo,2022
275,pedpet1,Peruvian Diving-Petrel,Pelecanoides garnotii,L20923532,CL (-18463 -70327),2022-09-11,6.0,-18.4625879,-70.3268548,True,-1,Arica y Parinacota,2022
281,bfgdov1,Bare-faced Ground Dove,Metriopelia ceciliae,L603748,PN Lauca--Parinacota,2022-11-12,2.0,-18.2026148,-69.2682409,False,-1,Arica y Parinacota,2022
292,bthhue1,Black-throated Huet-huet,Pteroptochos tarnii,L3054167,PN Nonguén,2022-10-03,1.0,-36.8776296,-72.9932928,False,-1,Bío-Bío,2022
295,chifla1,Chilean Flamingo,Phoenicopterus chilensis,L604963,MN Salar de Surire,2022-07-07,16.0,-18.7988649,-69.0871811,False,-1,Arica y Parinacota,2022
299,chithr1,Chiguanco Thrush,Turdus chiguanco,L16834218,Socoroma--Camino del Inca,2022-03-26,1.0,-18.2630468,-69.5997196,True,-1,Arica y Parinacota,2022
309,lesyel,Lesser Yellowlegs,Tringa flavipes,L16037193,Estero Zamorano--altura Lagunita,2022-02-28,2.0,-34.4492587,-71.0833875,False,-1,Libertador General Bernardo O'Higgins,2022
334,moucar1,Mountain Caracara,Daptrius megalopterus,L21756310,Salar De Loyoques,2022-12-08,4.0,-23.2018764,-67.2667193,True,-1,Antofagasta,2022
337,grbfir1,Green-backed Firecrown,Sephanoides sephaniodes,L12346472,217 Montt Llanquihue Los Lagos CL (-41253 -73004),2022-11-23,1.0,-41.2532576,-73.0044452,True,-1,Los Lagos,2022
338,andhil3,Andean Hillstar,Oreotrochilus estella,L1151436,Socoroma,2022-10-27,4.0,-18.2642703,-69.6022403,False,-1,Arica y Parinacota,2022
343,wbctyr1,White-browed Chat-Tyrant,Ochthoeca leucophrys,L7968464,Camino a Pintados--Quebrada al oeste de Putre,2022-11-13,4.0,-18.1955089,-69.5698618,False,-1,Arica y Parinacota,2022
344,plurai1,Plumbeous Rail,Pardirallus sanguinolentus,L4631590,Parque Tricao--Sendero Humedal,2022-04-29,1.0,-33.7251383,-71.6362587,False,-1,Valparaíso,2022
356,bcbeag1,Black-chested Buzzard-Eagle,Geranoaetus melanoleucus,L20278968,Puente Teno Romeral CL-Maule -34.90397 -71.15925,2022-07-24,1.0,-34.903965,-71.159255,True,-1,Maule,2022
363,ocftap1,Ochre-flanked Tapaculo,Eugralla paradoxa,L20777306,U-439 Puyehue Los Lagos CL (-40.682 -72.864),2022-09-04,1.0,-40.6815508,-72.8636917,True,-1,Los Lagos,2022
378,turvul,Turkey Vulture,Cathartes aura,L13597216,SN Humedal Río Maipo--Pajonal y lagunas estacionales,2022-10-31,2.0,-33.6255746,-71.6253229,False,-1,Valparaíso,2022
381,fiediu1,Fire-eyed Diucon,Pyrope pyrope,L17493866,Ruta 5 Sur Quellón CL-Los Lagos -43.07798 -73.63186,2022-06-30,1.0,-43.077979,-73.631865,True,-1,Los Lagos,2022
384,blkski,Black Skimmer,Rynchops niger,L673642,Río Elqui--Desembocadura,2022-03-03,30.0,-29.8933968,-71.2727094,False,-1,Coquimbo,2022
385,bawswa1,Blue-and-white Swallow,Pygochelidon cyanoleuca,L16148595,Bosquecillo nativo y poza Quebrada de La Quiroga Cerrillos de Tamaya Coquimbo CL (-30.564 -71.385),2022-09-11,2.0,-30.56424,-71.3849648,True,-1,Coquimbo,2022
388,flistd1,Flightless Steamer-Duck,Tachyeres pteneres,L3239192,Parque Marino Francisco Coloane,2022-06-18,32.0,-53.6719005,-72.2666931,False,-1,Magallanes,2022
389,bkbplo,Black-bellied Plover,Pluvialis squatarola,L606195,Estero Catapilco--Desembocadura (Laguna Zapallar),2022-01-12,2.0,-32.6327613,-71.426518,False,-1,Valparaíso,2022
405,houwre,House Wren,Troglodytes aedon,L2823328,Río Illapel--Illapel,2022-11-20,2.0,-31.6354045,-71.1647208,False,-1,Coquimbo,2022
407,angpet1,Southern Giant-Petrel,Macronectes giganteus,L6593051,Calfuco,2022-05-27,1.0,-39.790138,-73.3908391,False,-1,Los Ríos,2022
417,cinhar1,Cinereous Harrier,Circus cinereus,L11452282,260 Río Rollizos Puerto Montt Los Lagos CL (-41.477 -72.913),2022-02-21,1.0,-41.4765736,-72.9127972,True,-1,Los Lagos,2022
427,whtgre3,White-tufted Grebe,Rollandia rolland,L2297155,Humedal el Membrillo,2022-06-26,3.0,-33.3443051,-71.6503978,False,-1,Valparaíso,2022
433,lotmea1,Long-tailed Meadowlark,Leistes loyca,L12424741,Nardos 2057 Olmué CL-Valparaíso -32.99748 -71.18892,2022-01-11,1.0,-32.997478,-71.188922,True,-1,Valparaíso,2022
436,blkvul,Black Vulture,Coragyps atratus,L21621960,Campus Valdivia - Universidad San Sebastián,2022-11-22,2.0,-39.8215156,-73.249948,False,-1,Los Ríos,2022
440,bwgdov1,Black-winged Ground Dove,Metriopelia melanoptera,L1048929,Putre--Ruta vieja,2022-10-19,15.0,-18.1903586,-69.5446372,False,-1,Arica y Parinacota,2022
465,colplo1,Collared Plover,Charadrius collaris,L747685,Estero Nilahue--Desembocadura,2022-09-21,1.0,-34.4786137,-72.0225048,False,-1,Libertador General Bernardo O'Higgins,2022
472,chiswa1,Chilean Swallow,Tachycineta leucopyga,L18109691,4860 El Barrancón San Bernardo Región Metropolitana CL (-33.646 -70.736),2022-03-09,3.0,-33.6462082,-70.7362434,True,-1,Región Metropolitana de Santiago,2022
473,kinpen1,King Penguin,Aptenodytes patagonicus,L17977734,Birding from the NG Explorer headed out to sea via the Beagle Channel,2022-02-18,1.0,-54.919636,-67.511962,True,-1,Magallanes,2022
475,austhr1,Austral Thrush,Turdus falcklandii,L12667549,Reñihué,2022-10-02,7.0,-42.5764393,-72.5102222,False,-1,Los Lagos,2022
484,silgre1,Silvery Grebe,Podiceps occipitalis,L6498733,Penco--Playa,2022-06-19,47.0,-36.7374053,-73.0007064,False,-1,Bío-Bío,2022
486,giahum1,Giant Hummingbird,Patagona gigas,L17985535,986 Avenida Carlos Corsi Gherardelli Cartagena Valparaíso CL (-33.546 -71.596),2022-03-03,2.0,-33.5457943,-71.5961789,True,-1,Valparaíso,2022
512,cthhue1,Chestnut-throated Huet-huet,Pteroptochos castaneus,L9694316,Cerro Caracol,2022-01-13,5.0,-36.8404941,-73.0448495,False,-1,Bío-Bío,2022
533,plurai1,Plumbeous Rail,Pardirallus sanguinolentus,L16024765,800 Ovalle - Combarbalá Ovalle Coquimbo CL (-30592 -71165),2022-08-17,3.0,-30.5919973,-71.1645661,True,-1,Coquimbo,2022
538,gryfin1,Grassland Yellow-Finch,Sicalis luteola,L807764,Las Quemas Altas,2022-06-24,62.0,-40.6284479,-73.117919,False,-1,Los Lagos,2022
551,giahum1,Giant Hummingbird,Patagona gigas,L21562090,Playa de Santo Domingo,2022-11-17,2.0,-33.710866,-71.662946,True,-1,Valparaíso,2022
566,slbpar1,Slender-billed Parakeet,Enicognathus leptorhynchus,L8294249,Nalcahue,2022-11-08,20.0,-39.4805556,-72.2652778,False,-1,Araucanía,2022
575,strwoo6,Striped Woodpecker,Dryobates lignarius,L5138046,PN Patagonia--Valle Aviles,2022-01-01,1.0,-47.0524641,-72.2000456,False,-1,Aisén del General Carlos Ibáñez del Campo,2022
580,rutpla1,Rufous-tailed Plantcutter,Phytotoma rara,L10149534,Mari Mari,2022-01-06,1.0,-41.4638858,-73.8410133,True,-1,Los Lagos,2022
581,brhgul2,Brown-hooded Gull,Chroicocephalus maculipennis,L4051381,Quillaipe,2022-09-15,1.0,-41.5307483,-72.7408648,False,-1,Los Lagos,2022
590,eleter1,Elegant Tern,Thalasseus elegans,L1048910,Arica--Puerto,2022-10-17,11.0,-18.4724046,-70.3238511,False,-1,Arica y Parinacota,2022
595,gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L21544087,Ruta 60 CH Los Andes CL-Valparaíso -32.88547 -70.21573,2022-11-14,1.0,-32.885465,-70.215732,True,-1,Valparaíso,2022
612,speduc2,Spectacled Duck,Speculanas specularis,L21725571,Vía sin nombre Vilcún Araucanía CL (-38.675 -72.474),2022-12-05,2.0,-38.6749468,-72.4744315,True,-1,Araucanía,2022
624,auspar1,Austral Parakeet,Enicognathus ferrugineus,L1082556,Isla Teja,2022-02-23,14.0,-39.8099865,-73.2575119,False,-1,Los Ríos,2022
642,ashgoo1,Ashy-headed Goose,Chloephaga poliocephala,L12800555,Laguna Jeannette,2022-09-13,8.0,-52.3088028,-71.0887543,False,-1,Magallanes,2022
646,greyel,Greater Yellowlegs,Tringa melanoleuca,L504553,SN Humedal Río Maipo--Desembocadura,2022-10-11,2.0,-33.6198013,-71.6275442,False,-1,Valparaíso,2022
650,whrsan,White-rumped Sandpiper,Calidris fuscicollis,L17356805,Río Natales--Desembocadura,2022-02-04,0.0,-51.7220404,-72.5085318,False,-1,Magallanes,2022
659,cibgrt1,Cinnamon-bellied Ground-Tyrant,Muscisaxicola capistratus,L17028439,Punta Catalina,2022-09-01,1.0,-52.5443406,-68.7727867,False,-1,Magallanes,2022
663,mcrtyr1,Many-colored Rush Tyrant,Tachuris rubrigastra,L504548,Estero Mantagua,2022-10-01,1.0,-32.8844165,-71.5067482,False,-1,Valparaíso,2022
672,blaoys1,Blackish Oystercatcher,Haematopus ater,L18461454,16150 Avenida Borgoño Viña del Mar Valparaíso CL (-32.958 -71.549),2022-06-23,4.0,-32.9582893,-71.549364,True,-1,Valparaíso,2022
674,norgip1,Northern Giant-Petrel,Macronectes halli,L20837542,Chungungo - Pelágica,2022-09-10,1.0,-29.4130525,-71.412405,True,-1,Coquimbo,2022
676,colplo1,Collared Plover,Charadrius collaris,L3679772,Canal Ifarle,2022-09-02,5.0,-36.7461661,-73.0837101,False,-1,Bío-Bío,2022
677,belgul,Belcher's Gull,Larus belcheri,L2111817,Hotel Antofagasta,2022-12-03,7.0,-23.6440623,-70.4012704,False,-1,Antofagasta,2022
688,chiwig1,Chiloe Wigeon,Mareca sibilatrix,L7086449,Puente Negro Mehuin,2022-07-15,4.0,-39.4389274,-73.1960034,True,-1,Los Ríos,2022
703,brhgul2,Brown-hooded Gull,Chroicocephalus maculipennis,L8176684,Puerto Varas--Humedal Costanera,2022-06-24,1.0,-41.3250642,-72.9720332,False,-1,Los Lagos,2022
704,burpar,Burrowing Parakeet,Cyanoliseus patagonus,L13049902,Parcela Los Hualles Potrero Grande,2022-08-20,25.0,-35.1856469,-71.0895393,True,-1,Maule,2022
721,gsgdov1,Golden-spotted Ground Dove,Metriopelia aymara,L20348239,Camino Pisiga Carpa Colchane Tarapacá CL (-19.281 -68.624),2022-07-28,10.0,-19.2813938,-68.6242804,True,-1,Tarapacá,2022
723,flystd1,Flying Steamer-Duck,Tachyeres patachonicus,L835069,Laguna del Maule,2022-06-06,5.0,-36.0565381,-70.4971291,False,-1,Maule,2022
724,tuttyr1,Tufted Tit-Tyrant,Anairetes parulus,L807764,Las Quemas Altas,2022-10-11,1.0,-40.6284479,-73.117919,False,-1,Los Lagos,2022
726,whtgre3,White-tufted Grebe,Rollandia rolland,L16302886,18 De Septiembre Puerto Saavedra Araucanía CL (-38.786 -73.399),2022-09-10,1.0,-38.7862369,-73.3988089,True,-1,Araucanía,2022
729,whtgre3,White-tufted Grebe,Rollandia rolland,L12248664,Estancia Vega Castillo,2022-10-25,16.0,-51.2977074,-72.6593044,False,-1,Magallanes,2022
741,wepdov1,West Peruvian Dove,Zenaida meloda,L17003855,Líder Los Carrera,2022-09-27,2.0,-27.3897496,-70.3011604,False,-1,Atacama,2022
742,baisan,Baird's Sandpiper,Calidris bairdii,L12642862,Caleta Bahía Salada,2022-02-20,4.0,-27.6272745,-70.905088,False,-1,Atacama,2022
749,gresht1,Great Shrike-Tyrant,Agriornis lividus,L7552579,Cerro La Ballena,2022-05-25,1.0,-33.606152,-70.546368,False,-1,Región Metropolitana de Santiago,2022
756,kelgul,Kelp Gull,Larus dominicanus,L4845492,Cerrillos de Tamaya--Embalse San Antonio,2022-01-18,89.0,-30.584681,-71.4056203,False,-1,Coquimbo,2022
767,aplfal,Aplomado Falcon,Falco femoralis,L1780950,Camino a Pali Aike,2022-03-27,1.0,-52.1776085,-70.1489471,True,-1,Magallanes,2022
769,aupowl1,Austral Pygmy-Owl,Glaucidium nana,L14896694,V-809 Chinquio Los Lagos CL (-41574 -73087),2022-05-15,1.0,-41.5743162,-73.087487,True,-1,Los Lagos,2022
790,torduc1,Torrent Duck,Merganetta armata,L7316391,Salto Truful-Truful,2022-09-16,2.0,-38.826864,-71.6508221,False,-1,Araucanía,2022
801,wbgtyr1,White-browed Ground-Tyrant,Muscisaxicola albilora,L22335895,PN Laguna del Laja--Sendero Las Chilcas,2022-10-30,3.0,-37.3892842,-71.4111626,False,-1,Bío-Bío,2022
802,andgoo1,Andean Goose,Oressochen melanopterus,L2349056,PN Lauca--Estación CONAF,2022-08-18,2.0,-18.2507578,-69.1767775,False,-1,Arica y Parinacota,2022
809,comcan,Island Canary,Serinus canaria,L21146178,Tobalaba con Grecia,2022-10-07,1.0,-33.4734949,-70.5547201,False,2,Región Metropolitana de Santiago,2022
818,rebhaw2,Variable Hawk,Geranoaetus polyosoma,L10115331,Laguna del Encañado,2022-04-28,2.0,-33.6714117,-70.1331055,False,-1,Región Metropolitana de Santiago,2022
828,greegr,Great Egret,Ardea alba,L19017589,464 Avenida Andalien Concepción Bío Bío CL (-36.796 -73.033),2022-05-13,1.0,-36.7964908,-73.03317,True,-1,Bío-Bío,2022
844,bkbsht1,Black-billed Shrike-Tyrant,Agriornis montanus,L3144495,Colpitas,2022-11-04,2.0,-17.9553418,-69.4543433,False,-1,Arica y Parinacota,2022
848,gybsht1,Gray-bellied Shrike-Tyrant,Agriornis micropterus,L19600999,Solor,2022-04-28,1.0,-22.9457715,-68.1854869,False,-1,Antofagasta,2022
855,ausneg1,Austral Negrito,Lessonia rufa,L17471861,Lakutaia Hotel Puerto Williams Magellanes Chilena,2022-01-17,1.0,-54.937122,-67.634329,True,-1,Magallanes,2022
858,turvul,Turkey Vulture,Cathartes aura,L11208865,Granja El Molino,2022-03-21,1.0,-33.7849119,-71.2424098,False,-1,Región Metropolitana de Santiago,2022
864,crrmin1,Creamy-rumped Miner,Geositta isabellina,L21067072,Termas del plomo,2022-04-02,3.0,-33.6176725,-69.9101232,True,-1,Región Metropolitana de Santiago,2022
871,soater1,South American Tern,Sterna hirundinacea,L16842460,Humedal al norte de la Costanera Puerto Saavedra,2022-07-27,30.0,-38.7781398,-73.4051758,False,-1,Araucanía,2022
879,ameoys,American Oystercatcher,Haematopus palliatus,L21804735,254 Avenida Corcovado Chaiten Los Lagos CL (-42915 -72713),2022-12-15,4.0,-42.9148765,-72.7131219,True,-1,Los Lagos,2022
890,belgul,Belcher's Gull,Larus belcheri,L4950100,Parque de los Eventos,2022-03-10,3.0,-23.6288572,-70.3969869,False,-1,Antofagasta,2022
900,chitin1,Chilean Tinamou,Nothoprocta perdicaria,L11980665,Huiscapi--Humedal,2022-02-27,1.0,-39.3002441,-72.40649,False,-1,Araucanía,2022
903,seacin1,Seaside Cinclodes,Cinclodes nigrofumosus,L1895904,Los Vilos--Caleta Las Conchas,2022-05-09,1.0,-31.9125318,-71.5176021,False,-1,Coquimbo,2022
912,leasee1,Least Seedsnipe,Thinocorus rumicivorus,L13597216,SN Humedal Río Maipo--Pajonal y lagunas estacionales,2022-06-06,8.0,-33.6255746,-71.6253229,False,-1,Valparaíso,2022
914,siltea1,Silver Teal,Spatula versicolor,L3120182,SAN GREGORIO,2022-04-19,3.0,-52.5880321,-70.3015137,True,-1,Magallanes,2022
938,pibgre,Pied-billed Grebe,Podilymbus podiceps,L4611781,Laguna la Señoraza--Humedal,2022-07-02,2.0,-37.27938,-72.707541,False,-1,Bío-Bío,2022
939,stisan,Stilt Sandpiper,Calidris himantopus,L604811,SN Humedales de Tongoy--Estero Pachingo Desembocadura,2022-03-12,1.0,-30.3052065,-71.5723658,False,-1,Coquimbo,2022
942,soater1,South American Tern,Sterna hirundinacea,L13597216,SN Humedal Río Maipo--Pajonal y lagunas estacionales,2022-11-05,4.0,-33.6255746,-71.6253229,False,-1,Valparaíso,2022
947,comter,Common Tern,Sterna hirundo,L997417,Caleta Talcaruca,2022-04-20,1.0,-30.4725706,-71.6920996,False,-1,Coquimbo,2022
948,grbfir1,Green-backed Firecrown,Sephanoides sephaniodes,L16867458,Puente Rucapangui,2022-04-04,4.0,-38.6962177,-72.7920939,True,-1,Araucanía,2022
957,giahum1,Giant Hummingbird,Patagona gigas,L5950668,Carquindaño,2022-02-10,1.0,-31.4634266,-71.4259225,False,-1,Coquimbo,2022
961,perpel1,Peruvian Pelican,Pelecanus thagus,L3148424,Tongoy--Playa Grande,2022-09-17,1.0,-30.2577305,-71.4962445,False,-1,Coquimbo,2022
965,turvul,Turkey Vulture,Cathartes aura,L21498741,Autopista Interportuaria Talcahuano Bío Bío CL (-36.732 -73.09),2022-11-10,2.0,-36.731985,-73.0901783,True,-1,Bío-Bío,2022
967,rubmin1,Rufous-banded Miner,Geositta rufipennis,L1580272,Los Condores - Hacia La Parva,2022-11-22,3.0,-33.3445888,-70.299358,True,-1,Región Metropolitana de Santiago,2022
970,yebtea1,Yellow-billed Teal,Anas flavirostris,L11697419,Chamiza--Estero,2022-07-06,9.0,-41.491224,-72.8695,False,-1,Los Lagos,2022
977,perboo1,Peruvian Booby,Sula variegata,L18150612,Parque Eólico Monte Redondo (-31.076 -71.658),2022-09-07,2.0,-31.0759526,-71.6581574,True,-1,Coquimbo,2022
985,chimoc1,Chilean Mockingbird,Mimus thenca,L20172782,Casa Vicuña (-30035 -70718),2022-08-13,8.0,-30.0353417,-70.7179775,True,-1,Coquimbo,2022
988,mcrtyr1,Many-colored Rush Tyrant,Tachuris rubrigastra,L1082556,Isla Teja,2022-07-05,1.0,-39.8099865,-73.2575119,False,-1,Los Ríos,2022
1000,wepdov1,West Peruvian Dove,Zenaida meloda,L6724067,Mall Plaza Antofagasta,2022-01-12,2.0,-23.6450647,-70.4029977,False,-1,Antofagasta,2022
1004,brnowl,Barn Owl,Tyto alba,L21484010,Vía sin nombre Maipú Región Metropolitana CL (-33.492 -70.876),2022-11-08,1.0,-33.4916307,-70.8762156,True,-1,Región Metropolitana de Santiago,2022
1006,blkski,Black Skimmer,Rynchops niger,L10054880,Puerto Saavedra--Costanera,2022-01-20,3.0,-38.7877482,-73.3986514,False,-1,Araucanía,2022
1018,yewbla2,Yellow-winged Blackbird,Agelasticus thilius,L2297155,Humedal el Membrillo,2022-08-13,10.0,-33.3443051,-71.6503978,False,-1,Valparaíso,2022
1026,cocher1,Cocoi Heron,Ardea cocoi,L2993802,Rio Pichoy,2022-01-28,1.0,-39.6928894,-73.0962789,False,-1,Los Ríos,2022
1027,sander,Sanderling,Calidris alba,L504553,SN Humedal Río Maipo--Desembocadura,2022-10-30,10.0,-33.6198013,-71.6275442,False,-1,Valparaíso,2022
1029,burpar,Burrowing Parakeet,Cyanoliseus patagonus,L18120404,El Tambo Ruta 41 Vicuña Coquimbo CL (-30.027 -70.786),2022-03-14,13.0,-30.0265789,-70.7860618,True,-1,Coquimbo,2022
1032,sbgtyr1,Spot-billed Ground-Tyrant,Muscisaxicola maculirostris,L3143843,Quebrada Carrizo curso inferior,2022-06-05,1.0,-23.6973399,-70.4183024,True,-1,Antofagasta,2022
1033,spetyr1,Spectacled Tyrant,Hymenops perspicillatus,L4219678,Condominio Las Bahías Puerto Varas,2022-03-27,2.0,-41.3415896,-72.9423308,True,-1,Los Lagos,2022
1036,gryfin1,Grassland Yellow-Finch,Sicalis luteola,L12225403,20 General Baquedano Nueva Branau Los Lagos CL (-41.324 -73.07),2022-11-03,2.0,-41.3243662,-73.0704785,True,-1,Los Lagos,2022
1046,seacin1,Seaside Cinclodes,Cinclodes nigrofumosus,L629576,Río Itata--Desembocadura,2022-10-06,2.0,-36.3874329,-72.8610706,False,-1,Ñuble,2022
1050,bcnher,Black-crowned Night-Heron,Nycticorax nycticorax,L4611781,Laguna la Señoraza--Humedal,2022-07-02,8.0,-37.27938,-72.707541,False,-1,Bío-Bío,2022
1051,tuttyr1,Tufted Tit-Tyrant,Anairetes parulus,L15137078,Luis Pasteur 5418 Vitacura CL-Metropolitana de Santiago -33.39449 -70.58248,2022-06-13,2.0,-33.39449,-70.582479,True,-1,Región Metropolitana de Santiago,2022
