,speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,locationPrivate,exoticCategory,region,year
58715,blkski,Black Skimmer,Rynchops niger,L16424759,Santo Domingo Valparaíso CL (-33.627 -71.622),2022-09-25,28.0,-33.6266042,-71.6217295,True,-1,Valparaíso,2022
58720,stbear2,Straight-billed Earthcreeper,Ochetorhynchus ruficaudus,L3315450,Salar de Talar,2022-08-07,2.0,-23.929465,-67.6939774,False,-1,Antofagasta,2022
58722,cintea,Cinnamon Teal,Spatula cyanoptera,L7284828,Parque El Trapiche,2022-11-11,3.0,-33.5964559,-70.8972208,False,-1,Región Metropolitana de Santiago,2022
58726,corpip1,Correndera Pipit,Anthus correndera,L807764,Las Quemas Altas,2022-12-17,1.0,-40.6284479,-73.117919,False,-1,Los Lagos,2022
58729,ticdor1,Ticking Doradito,Pseudocolopteryx citreola,L13597216,SN Humedal Río Maipo--Pajonal y lagunas estacionales,2022-12-07,2.0,-33.6255746,-71.6253229,False,-1,Valparaíso,2022
58733,baisan,Baird's Sandpiper,Calidris bairdii,L4905604,Lepihué,2022-01-19,300.0,-41.5931514,-73.5721302,False,-1,Los Lagos,2022
58742,spvear1,Sparkling Violetear,Colibri coruscans,L1151436,Socoroma,2022-12-25,1.0,-18.2642703,-69.6022403,False,-1,Arica y Parinacota,2022
58747,spwpig3,Spot-winged Pigeon,Patagioenas maculosa,L1048923,Molinos,2022-08-13,25.0,-18.3821935,-69.9457765,False,-1,Arica y Parinacota,2022
58756,rucdot1,Rufous-chested Dotterel,Charadrius modestus,L572316,Pargua,2022-09-21,1.0,-41.796528,-73.4660912,False,-1,Los Lagos,2022
58757,bkbalb,Black-browed Albatross,Thalassarche melanophris,L2698398,Punta Lavapié--Pelágico,2022-11-08,2.0,-37.0047461,-73.9489746,False,-1,Bío-Bío,2022
58765,plsfin1,Plumbeous Sierra Finch,Geospizopsis unicolor,L18778438,Ruta B-245 - Machuca San Pedro de Atacama CL-Antofagasta -22.58542 -68.04841,2022-04-30,4.0,-22.585422,-68.048407,True,-1,Antofagasta,2022
58792,creduc1,Crested Duck,Lophonetta specularioides,L10197655,Bahía Dirección,2022-07-09,25.0,-52.3965491,-69.5302562,False,-1,Magallanes,2022
58811,cinhar1,Cinereous Harrier,Circus cinereus,L14992534,Puerto Montt Los Lagos CL (-41.469 -72.879),2022-01-08,1.0,-41.4694176,-72.8791509,True,-1,Los Lagos,2022
58814,rutpla1,Rufous-tailed Plantcutter,Phytotoma rara,L7059891,Castro--Cerro Millantuy,2022-06-30,1.0,-42.4780107,-73.7710109,False,-1,Los Lagos,2022
58828,crwcin1,Cream-winged Cinclodes,Cinclodes albiventris,L20046046,Murmutani--Quebrada,2022-07-06,2.0,-18.3442558,-69.5612575,True,-1,Arica y Parinacota,2022
58832,y00678,Crested Caracara,Caracara plancus,L18007146,Ainsworth Bay - Beach,2022-03-21,1.0,-54.406805,-69.620603,True,-1,Magallanes,2022
58844,incter1,Inca Tern,Larosterna inca,L16872547,Quebrada de Vitor--Mirador,2022-12-21,4.0,-18.7483186,-70.3376484,False,-1,Arica y Parinacota,2022
58845,colplo1,Collared Plover,Charadrius collaris,L504548,Estero Mantagua,2022-02-26,3.0,-32.8844165,-71.5067482,False,-1,Valparaíso,2022
58864,strwoo6,Striped Woodpecker,Dryobates lignarius,L17485430,Acceso Parque Oncol Valdivia,2022-01-19,1.0,-39.697738,-73.333456,True,-1,Los Ríos,2022
58875,refcoo1,Red-fronted Coot,Fulica rufifrons,L1020637,Brisas del Sol,2022-07-10,5.0,-36.7704412,-73.0698287,False,-1,Bío-Bío,2022
58891,hudgod,Hudsonian Godwit,Limosa haemastica,L791057,Estero El Culebrón--Desembocadura,2022-01-23,1.0,-29.9617015,-71.3218206,False,-1,Coquimbo,2022
58895,whcpet1,White-chinned Petrel,Procellaria aequinoctialis,L20043770,Punta Chocoi,2022-07-08,2.0,-41.7412827,-73.7609409,True,-1,Los Lagos,2022
58909,ruthaw1,Rufous-tailed Hawk,Buteo ventralis,L571105,MN Cerro Ñielol,2022-11-27,1.0,-38.7280913,-72.5881505,False,-1,Araucanía,2022
58915,surfbi,Surfbird,Calidris virgata,L504548,Estero Mantagua,2022-08-27,20.0,-32.8844165,-71.5067482,False,-1,Valparaíso,2022
58920,brnowl,Barn Owl,Tyto alba,L17619380,Desembocadura Huinahue Futrono Los Ríos CL (-40.31 -71.987),2022-02-01,1.0,-40.3099768,-71.9874792,True,-1,Los Ríos,2022
58930,saffin,Saffron Finch,Sicalis flaveola,L11069466,Cementerio Municipal de Valdivia,2022-12-06,6.0,-39.8297525,-73.217405,False,-1,Los Ríos,2022
58940,slbfin3,Slender-billed Finch,Xenospingus concolor,L668852,Río Lluta--Desembocadura,2022-09-01,8.0,-18.4165392,-70.3224081,False,-1,Arica y Parinacota,2022
58952,spfgal1,Spot-flanked Gallinule,Porphyriops melanops,L2925268,Estero Marga Marga,2022-07-16,4.0,-33.0213799,-71.5589654,False,-1,Valparaíso,2022
58960,dolgul2,Dolphin Gull,Leucophaeus scoresbii,L5751020,Río de las Minas--Desembocadura,2022-01-05,12.0,-53.1630859,-70.8897972,False,-1,Magallanes,2022
58962,oashum1,Oasis Hummingbird,Rhodopis vesper,L20389226,Sector eucaliptos -29.84314 -71.11950,2022-08-02,14.0,-29.843137,-71.119502,True,-1,Coquimbo,2022
58969,andavo1,Andean Avocet,Recurvirostra andina,L9502372,RN Los Flamencos--Laguna Chaxa (Parque Laguna),2022-07-21,15.0,-23.2878293,-68.1775689,False,-1,Antofagasta,2022
58983,shbcan2,Sharp-billed Canastero,Asthenes pyrrholeuca,L5067776,Camino Valle Nevado--Plaza de los Pumas,2022-12-17,1.0,-33.3598718,-70.2904201,False,-1,Región Metropolitana de Santiago,2022
58991,whttre2,White-throated Treerunner,Pygarrhichas albogularis,L572731,MN Lahuen Ñadi,2022-07-10,6.0,-41.4122702,-73.0292559,False,-1,Los Lagos,2022
59000,y00678,Crested Caracara,Caracara plancus,L12225403,20 General Baquedano Nueva Branau Los Lagos CL (-41.324 -73.07),2022-04-10,1.0,-41.3243662,-73.0704785,True,-1,Los Lagos,2022
59008,chitin1,Chilean Tinamou,Nothoprocta perdicaria,L20761972,Tranque Guaico 1,2022-09-03,3.0,-34.9325007,-71.0801865,False,-1,Maule,2022
59009,grbfir1,Green-backed Firecrown,Sephanoides sephaniodes,L20044410,482 Calle Turin Elqui Coquimbo CL (-29.898 -71.267),2022-07-08,1.0,-29.8977342,-71.2670992,True,-1,Coquimbo,2022
59014,ameoys,American Oystercatcher,Haematopus palliatus,L2252491,Río Mataquito--Piedra el Peñón,2022-07-02,25.0,-34.9821838,-72.1817636,False,-1,Maule,2022
